config,variant,data_width,rounds_per_cycle,arhitektura,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,passes
sha3_256_dw32_a1,256,32,1,I,2.483,0.109,421.23,5408,0,3069,0,0,0.688,3
sha3_256_dw32_a2,256,32,2,II,4.346,0.019,231.11,10544,0,3068,0,0,1.506,3
