config,wrapper_kind,round_style,flow_style,num_cores,aes_bits,start_MHz,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,blocks_per_clk,throughput_Gbps,passes
unrolled_bram_global,UNROLLED,BRAM,GLOBAL,0,256,400.0,3.444,0.026,292.57,3351,2,5321,52,0,0.803,1.0000,37.45,3
multicore_bram_c15,MULTICORE,BRAM,GLOBAL,15,256,400.0,4.199,0.006,238.49,25816,0,9197,60,0,1.604,1.0000,30.53,2
